Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Log_Returns,Rolling_Volatility
2024-10-31,571.24,-11.43,-0.0196165925824222,578.34,571.18,578.42,8318741,4763271557.0,-0.004332035841279919,0.1048098929270928
2024-10-30,582.67,-1.88,-0.00321614917457873,584.11,582.16,586.14,3831039,2235264774.0,0.01981155177007342,0.12238823483275017
2024-10-29,584.55,0.899999999999977,0.00154202004626056,582.67,581.27,585.71,3912738,2286885764.0,0.0032213320980219555,0.12153743174724027
2024-10-28,583.65,1.75,0.00300738958583949,585.41,583.36,585.44,3635622,2122950083.0,-0.0015408323541556714,0.12009904514348758
2024-10-25,581.9,-0.129999999999995,-0.000223356184389113,584.38,580.91,587.3,3781949,2207090998.0,-0.003002876436048008,0.11954446027504897
2024-10-24,582.03,1.24000000000001,0.00213502298593297,582.83,579.41,582.83,4080552,2374312839.0,0.00022338113209661553,0.11801569374601839
2024-10-23,580.79,-5.34000000000003,-0.00911060686195901,584.03,577.23,584.48,2912008,1692455150.0,-0.002132747063213547,0.11802425908309232
2024-10-22,586.13,-0.460000000000036,-0.00078419338890884,583.86,583.29,587.2879,2640935,1546044497.0,0.00915236224539793,0.12178727595588555
2024-10-21,586.59,-0.870000000000005,-0.00148095189459709,586.67,583.44,587.68,3512823,2057965718.0,0.0007845010293880917,0.12108044222942264
2024-10-18,587.46,2.21000000000004,0.00377616403246482,586.9,585.45,588.22,4120417,2419912906.0,0.0014820495877417973,0.12130334685367465
2024-10-17,585.25,0.169999999999959,0.000290558556094823,588.79,584.98,588.93,2730986,1600856768.0,-0.003769052223014872,0.12146650080649397
2024-10-16,585.08,2.59000000000003,0.00444642826486297,582.59,581.77,585.635,1842520,1075969450.0,-0.0002905163521325636,0.1208038754231933
2024-10-15,582.49,-4.65999999999997,-0.0079366431065315,587.46,581.405,587.67,3872018,2259011277.0,-0.00443657210836738,0.12055097474518418
2024-10-14,587.15,4.79999999999995,0.00824246587103967,584.03,583.68,588.05,1679322,984887470.0,0.007968305900569954,0.1225396550389604
2024-10-11,582.35,3.51999999999998,0.00608123283174677,578.82,578.72,583.09,2591668,1507729868.0,-0.008208682262429205,0.12430076373999917
2024-10-10,578.83,-1.01999999999998,-0.00175907562300592,578.53,577.27,580.33,2197643,1271978608.0,-0.006062816759272226,0.12501884357737034
2024-10-09,579.85,3.90999999999997,0.00678890162169665,575.94,575.33,580.47,2048778,1185235084.0,0.0017606246133235284,0.12464209880578266
2024-10-08,575.94,5.41000000000008,0.00948241109144144,573.11,572.26,576.5,2307895,1326753419.0,-0.006765960799211589,0.12583885583565646
2024-10-07,570.53,-5.16000000000008,-0.00896315725477267,574.03,569.33,574.58,2664335,1523442094.0,-0.009437735232578294,0.12803203329519103
2024-10-04,575.69,5.18000000000006,0.00907959544968548,575.13,570.92,576.12,2433951,1396434536.0,0.009003568001910222,0.13102165962120627
2024-10-03,570.51,-1.09000000000003,-0.00190692792162357,570.13,568.23,572.52,2553757,1456045523.0,-0.009038623740538262,0.12664275817559678
2024-10-02,571.6,0.230000000000018,0.000402541260479231,570.45,567.97,572.615,4400382,2514064614.0,0.0019087484234180244,0.12474009695325144
2024-10-01,571.37,-5.45000000000005,-0.00944835477271947,576.14,568.76,576.21,5475724,3130004940.0,-0.0004024602624819471,0.12476540642106165
2024-09-30,576.82,2.75,0.00479035657672409,573.19,570.88,577.19,6099469,3510258438.0,0.0094932736401779,0.12820528277205703
2024-09-27,574.07,-1.03999999999996,-0.00180834970701251,576.15,573.15,576.9172,7128850,4096597120.0,-0.004778919329775037,0.12855942932415526
2024-09-26,575.11,2.45000000000005,0.00427828030594078,577.19,572.63,577.47,8915337,5126421566.0,0.0018099867452000683,0.12862345600223532
2024-09-25,572.66,-3.59000000000003,-0.00622993492407815,573.88,571.69,574.65,31448293,18010722524.0,-0.0042691544840434085,0.12749722762492993
2024-09-24,576.25,1.66999999999996,0.00290647081346368,575.45,572.61,576.35,7325965,4218125934.0,0.006249421946068549,0.10835596579900796
2024-09-23,574.58,1.59000000000003,0.00277491753782794,574.31,573.065,575.275,31440711,18063100160.0,-0.002902255193577693,0.10278934548709301
2024-09-20,572.99,-1.20000000000005,-0.00208990055556531,572.78,570.11,574.21,8763753,5020112356.0,-0.002771074561809904,0.10295863087773054
2024-09-19,574.19,9.68000000000006,0.0171476147455316,574.22,571.32,576.1,3623524,2080736681.0,0.002092087445183896,0.1023143320264876
2024-09-18,564.51,-1.69000000000005,-0.00298481102084079,566.89,563.95,571.84,5198332,2943587545.0,-0.017002253775991787,0.09636817296485911
2024-09-17,566.2,0.210000000000036,0.000371031290305547,568.26,563.97,569.69,3725772,2111874561.0,0.0029892744531364464,0.09628098939487327
2024-09-16,565.99,0.940000000000055,0.0016635695956111,564.87,563.03,566.259,2453760,1386877196.0,-0.0003709624752175128,0.09629025605367633
2024-09-13,565.05,2.88,0.00512300549655797,562.78,562.56,566.16,3953042,2232768861.0,-0.0016621873964220793,0.09612911938093772
2024-09-12,562.17,4.71999999999991,0.00846712709660044,558.04,555.859,562.44,3481123,1950693766.0,-0.005109927550475623,0.0967897023643612
2024-09-11,557.45,5.95000000000005,0.0107887579329103,551.7,542.91,558.41,4691965,2592768835.0,-0.008431482042103476,0.09903682788319401
2024-09-10,551.5,2.02999999999997,0.00369446921578971,551.39,546.42,552.16,5964584,3286113812.0,-0.010730974520023456,0.09743755809594323
2024-09-09,549.47,6.10000000000002,0.0112262362662643,547.65,545.68,550.7,4313027,2365941904.0,-0.003687661426689274,0.09717679030358582
2024-09-06,543.37,-9.18999999999994,-0.016631678007818,552.94,542.41,554.555,3525736,1923097679.0,-0.011163689748580289,0.09990992818472776
2024-09-05,552.56,-1.54000000000008,-0.00277928171810157,553.94,550.11,556.77,6823974,3770788723.0,0.01677153726242973,0.11449439778571163
2024-09-04,554.1,-1.15999999999997,-0.00208911140726861,553.25,552.49,557.43,3948923,2189017550.0,0.0027831510925866343,0.11521784061797759
2024-09-03,555.26,-11.49,-0.0202734891927658,563.53,552.55,563.87,7817821,4354349190.0,0.0020912966445043586,0.11547946759432853
2024-08-30,566.75,5.29999999999995,0.0094398432629797,563.88,560.22,567.33,3016147,1704222947.0,0.02048181686982994,0.12934768182611434
2024-08-29,561.45,0.0900000000000318,0.000160324925181758,563.39,560.27,566.79,2504524,1411304532.0,-0.009395566369090684,0.12995254577241722
2024-08-28,561.36,-3.29999999999995,-0.00584422484326844,564.28,558.081,564.76,2890610,1624626634.0,-0.00016031207451440432,0.1291640762190372
2024-08-27,564.66,1.02999999999997,0.00182743998722561,562.57,561.47,565.14,2258056,1273844267.0,0.005861369154718157,0.13047181305379474
2024-08-26,563.63,-1.60000000000002,-0.00283070608424893,566.3,562.15,567.02,5861543,3305717640.0,-0.0018257722502558744,0.12931730523457652
2024-08-23,565.23,6.03999999999996,0.0108013376490995,562.64,560.3625,566.2,2450111,1381830406.0,0.002834720109523308,0.12699912206398567
2024-08-22,559.19,-4.76999999999998,-0.00845804666997656,565.67,558.05,566.29,3448272,1934820976.0,-0.010743419887872111,0.1273091139216154
2024-08-21,563.96,2.19000000000005,0.00389839258059358,562.83,561.0649,565.18,4434003,2498689183.0,0.008494018927013512,0.12779265026889722
2024-08-20,561.77,-0.840000000000032,-0.00149304136080061,562.22,560.3929,563.93,2874786,1616241477.0,-0.003890813539237382,0.12799340309851068
2024-08-19,562.61,5.18000000000006,0.00929264661033684,557.79,556.94,562.68,4642833,2602393751.0,0.0014941570577124846,0.1281339966528047
2024-08-16,557.43,1.25999999999999,0.00226549436323425,554.45,554.28,558.0498,4186143,2330579623.0,-0.009249735602862718,0.12692178769774085
2024-08-15,556.17,9.36000000000001,0.0171174631041861,552.56,551.92,556.385,3944845,2185449597.0,-0.0022629320001623663,0.12650370839368394
2024-08-14,546.81,1.77999999999997,0.00326587527292071,545.85,543.16,547.92,4218205,2303492072.0,-0.01697261000765888,0.1342798537974474
2024-08-13,545.03,8.91999999999996,0.0166383764525936,539.53,535.9316,545.25,4299702,2332983868.0,-0.003260553885116406,0.13414273942185836
