Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2020-03-17,234.37704467773438,237.5014634392839,219.79338222952163,227.1825504784397,262070500,0.052584775996815734
2020-03-18,222.50987243652344,230.26989971077225,211.40292526517004,219.03315567970276,327597100,-0.051959649521772885
2020-03-19,222.98268127441406,229.35203543435006,215.29682632905443,221.81450963937905,289322000,0.0021226348744788756
2020-03-20,213.37342834472656,227.98689507054252,213.093652650611,226.17769504257595,347158800,-0.04405029060566516
2020-03-23,207.91786193847656,214.19409581010046,203.54407726275934,212.8045663726438,326025200,-0.02590070820860941
2020-03-24,226.75588989257812,227.64184863747488,218.03631124687172,218.61450391829229,235494500,0.08673095674497378
2020-03-25,230.15049743652344,239.065938764281,223.58516658506264,228.3599526588523,299430300,0.014859367690466328
2020-03-26,243.58889770507812,245.08099675224295,232.2580891333931,232.69640105498817,257632800,0.05674852725497674
2020-03-27,236.33343505859375,243.2251719122583,234.1232342411207,236.19355433469624,224341200,-0.03023829057859294
2020-03-30,244.00852966308594,244.73593787908052,236.43601632222862,238.4597047415963,171369500,0.03195951402258567
2020-03-31,240.3715362548828,245.57529937673385,238.94469568437773,242.99207332581065,194881100,-0.01501738826875149
2020-04-01,229.55360412597656,240.2875642752323,227.4553078753553,231.2602201174131,189554600,-0.04604922264510959
2020-04-02,234.8506622314453,235.64334345021692,228.09880553341145,228.65835693606002,177660400,0.022813260871120098
2020-04-03,231.4561004638672,236.2402211530827,228.68634787853023,233.85281401330948,135561200,-0.014559607556592217
2020-04-06,247.00209045410156,248.99781695489722,231.4374074073716,240.455416523571,188061200,0.06500657525062978
2020-04-07,247.25393676757812,256.4864356164454,247.03012758286806,255.72171628872943,201427200,0.0010190926216459768
2020-04-08,255.55377197265625,257.3909476285482,247.36575673359567,249.89302944623273,153774500,0.03301695272849628
2020-04-09,259.4427490234375,262.24047804183556,256.8968053711056,258.86452778659265,189999200,0.01510321261288864
2020-04-13,257.0740051269531,258.79927710047826,253.1105555612745,258.4542283977677,114839100,-0.009172056796337818
2020-04-14,264.6557922363281,265.6909380967998,256.93406289185134,262.0352555449032,134143400,0.029066083330853865
2020-04-15,259.03240966796875,264.7957245378407,256.88746704010765,258.85521788905936,121775000,-0.021476896742527996
2020-04-16,260.2820129394531,261.149301941165,257.1672119683842,260.3286303636444,131798300,0.004812520618936717
2020-04-17,267.3136901855469,267.92916551234094,263.3595472336006,266.1386349144531,146684800,0.026657130046781257
2020-04-20,262.60406494140625,267.4534713871976,262.38025581497163,263.5552821887136,100109300,-0.017775397046858123
2020-04-21,254.630615234375,259.29349626399676,253.67936928995314,258.07182371103323,126385700,-0.030833514081383268
2020-04-22,260.2820129394531,262.0539019582094,258.23966886447624,259.5825808167889,92951600,0.02195178108145995
2020-04-23,260.2633972167969,264.7957331114833,259.95565954134184,261.57833329550306,104709700,-7.152391434436164e-05
2020-04-24,263.89111328125,264.57190421689205,259.7224961366366,261.80215150389427,85063200,0.01384238394460817
2020-04-27,267.696044921875,268.83378927118895,265.42989109446245,265.89617929565713,77896600,0.014315607751269027
2020-04-28,266.4649963378906,271.75268722543615,266.1572302676305,271.3983037311806,105270000,-0.004609286969350005
2020-04-29,273.440673828125,274.9980886853594,270.8294717165585,271.8739525611851,118745600,0.025841794472197498
2020-04-30,270.89471435546875,273.54322705040823,269.13213187491306,272.04176473808707,122901700,-0.009354446149878945
2020-05-01,263.7232360839844,271.0626063501023,262.5388460753186,266.0733179026497,125180000,-0.02683003239925745
2020-05-04,264.4505615234375,264.75829905588773,260.30992214526503,261.8113557216955,80873200,0.0027541157947910495
2020-05-05,266.8939514160156,269.7476319526153,264.5811524850615,267.31362203726525,79569900,0.009197072920224134
2020-05-06,265.084716796875,269.01085362215787,264.6464049570007,268.6191876562887,73632600,-0.006801932869831243
2020-05-07,268.2835693359375,270.24198544905727,267.77066370487006,268.34885651370183,75250400,0.011995054736991445
2020-05-08,272.72265625,273.19827934134696,270.316593098453,271.46367236465323,76452400,0.01641085196481083
2020-05-11,272.7785949707031,274.1774595602965,270.3352493744758,270.76422654649195,79514200,0.00020509108191411153
2020-05-12,267.3416442871094,274.4012248219,267.20173508258847,273.9815825882423,95870800,-0.02013305163624976
2020-05-13,262.61346435546875,267.8265619130313,260.15144951971445,266.77274625045317,144721100,-0.017844173266603595
2020-05-14,265.75628662109375,265.88683251239354,254.5840115754102,260.14218717581855,121977900,0.01189643928502319
2020-05-15,266.9779052734375,267.0245226980321,262.37097670882946,263.33152902720104,111146300,0.004586230101891011
2020-05-18,275.1100158691406,276.7420244378559,272.96510170567467,273.291480651441,119703800,0.030005172179535987
2020-05-19,272.2842712402344,276.23838517730223,272.26562996202875,274.50380712527533,95189300,-0.010324439973301859
2020-05-20,276.90985107421875,277.78647500066535,275.64156107168105,275.8747051274388,85861700,0.016845370434865975
2020-05-21,274.998046875,277.59994218127207,273.8882790313198,276.77927065384836,78293900,-0.006928010463730637
2020-05-22,275.5203552246094,275.6975470054014,273.45003461848734,274.7090183651781,63958200,0.0018975151578380488
2020-05-26,278.9148864746094,281.81521335042993,275.5389650740478,281.57273442332837,88951400,0.012245158353435434
2020-05-27,283.0647888183594,283.1020998267104,276.8538293160821,281.7498532586017,104817400,0.014769138315470684
2020-05-28,282.5426330566406,286.15169866023473,281.8618421354063,284.1093543565007,90405200,-0.0018463545203300574
2020-05-29,283.80157470703125,284.3984086310391,279.2785747846173,282.06696830607984,119090800,0.004445860686079881
2020-06-01,284.9486083984375,285.56411202327604,282.6265030783365,283.1487434036607,55758300,0.004033529238682649
2020-06-02,287.3080749511719,287.3547208390642,284.5290159756294,285.8812344450804,74267200,0.008246229329389246
2020-06-03,291.1316223144531,292.10150950135704,289.04266079801346,289.32242226540586,92567600,0.013220403339753687
2020-06-04,290.36688232421875,291.89632079684446,288.2406099437138,290.1337382980232,75794400,-0.00263024040480583
2020-06-05,297.8089294433594,299.60879497601815,295.7759198222224,295.8412069973895,150524700,0.02530686963523059
2020-06-08,301.40869140625,301.60452447336337,298.07938696546233,298.6296036035241,73641200,0.012015018059770864
2020-06-09,299.1611328125,301.48323848713284,297.8275271917575,298.70415111309836,77479200,-0.007484788598569921
2020-06-10,297.4918212890625,300.65326841119503,296.7644129584786,299.7486683177794,95000800,-0.005595600818117128
2020-06-11,280.34173583984375,291.1036738483451,279.7822128518547,290.4601939521889,209243600,-0.059377389017442786
2020-06-12,283.6989440917969,288.240584771874,278.46720626163506,287.45722432746294,194678900,0.011904275764636598
2020-06-15,286.3475036621094,287.4945826049996,276.73264555745334,277.9263419251905,135782700,0.009292501126677089
2020-06-16,291.8590393066406,294.3583651498472,286.92573170449174,294.20914954279255,137627500,0.019064822593933366
2020-06-17,290.6466979980469,293.1926412353925,289.90061997210125,292.8942100250143,83398900,-0.0041625102773110755
2020-06-18,290.7586364746094,291.2435659030171,288.6416985279427,289.1079866760167,80828700,0.00038506175058464095
2020-06-19,289.09698486328125,294.4735199564145,287.12057481652477,294.27682512221,135549600,-0.0057312755058559085
2020-06-22,290.9515686035156,291.3543341867788,287.3266211837307,288.4880953625206,74649400,0.006394602826904383
2020-06-23,292.2910461425781,294.58592407582245,291.8789045661162,293.63986792277876,68471200,0.0045932168198288045
2020-06-24,284.8350830078125,290.8485825626222,282.971098528155,290.22099424139043,132813500,-0.025839682554756625
2020-06-25,287.8885803222656,288.1602255040483,282.2029263238514,284.2542576439699,89468000,0.010663174730267976
2020-06-26,281.05078125,286.98935673197917,280.4606969483177,286.7739100729771,127961000,-0.02403816220120445
2020-06-29,285.1816101074219,285.32210640285064,280.00177039109366,282.3247472879432,79773300,0.014590836573195284
2020-06-30,288.8345947265625,290.55811086462234,284.58208864312786,284.74130821537375,113394800,0.012727981907131269
2020-07-01,290.85784912109375,292.14112467006703,289.49968033846915,289.9680203156232,72396500,0.006980469149054098
2020-07-02,292.4596862792969,295.70996790722165,291.7852753523576,294.3423941537088,69344200,0.005492175658958623
2020-07-06,296.97442626953125,297.56453933000677,295.5787820114098,296.3374906362472,61713800,0.015319195771646164
2020-07-07,293.9114685058594,297.41464278802863,293.5274262504825,295.410162321055,82910000,-0.010367433799105846
2020-07-08,296.1595764160156,296.27197348066693,292.8999472002675,294.68898145465937,54638600,0.007619824110708342
2020-07-09,294.4734802246094,297.02125111727224,291.00775258749655,296.77770515573906,83354200,-0.0057094697045249
2020-07-10,297.4802551269531,297.75190038318647,292.95610243214134,294.40794527798914,57550400,0.010158904596201999
2020-07-13,294.90435791015625,302.2760256899368,294.2393230460445,299.85940362043874,102997500,-0.008696760163782475
2020-07-14,298.72601318359375,299.5128209928934,292.244174680497,293.4618473075831,93657000,0.012875716125213222
2020-07-15,301.4705505371094,302.5852023449328,299.0538994334267,301.9950892013541,87196500,0.009145525479339384
2020-07-16,300.4776306152344,300.93659473733226,298.8852629404968,299.5409504736733,54622500,-0.00329902424662563
2020-07-17,301.34869384765625,302.1448775728989,299.49405713787746,301.49856607942473,62774900,0.0028947349269065996
2020-07-20,303.78411865234375,304.542827300873,300.3183906000122,301.07709924854146,56308800,0.008049267545152108
2020-07-21,304.4303894042969,306.2287990760789,303.42813489954403,305.7792109507365,57292200,0.0021251416617585352
2020-07-22,306.1631774902344,306.4816738102729,303.9526266536502,304.06502366768643,57792900,0.005675764801983733
2020-07-23,302.5101318359375,306.509773294685,301.12386388151054,305.7978874249834,75738000,-0.01200344900940677
2020-07-24,300.5618896484375,301.6015907506285,299.035096640898,300.62746411034294,73766600,-0.006461082244346938
2020-07-27,302.7537841796875,302.93175570967287,300.4589061889574,301.2644660486615,48293000,0.007266193371787951
2020-07-28,300.8335266113281,303.14712734269153,300.5337821524394,302.01372396724446,57495000,-0.0063628376959085345
2020-07-29,304.53338623046875,305.1047758745193,301.6858711275575,301.72334633008643,48454200,0.012223679918571984
2020-07-30,303.4468688964844,303.86838636404417,299.4004326998644,301.51731023005146,61861700,-0.0035741900546771167
2020-07-31,305.8447265625,305.9477762211641,300.9833553418727,305.2639895679316,84986800,0.007871009754188751
2020-08-03,307.9710388183594,308.7484706752371,306.9781602612835,307.5307980554894,53077900,0.006928205109840566
2020-08-04,309.16064453125,309.16064453125,307.0999367904349,307.0999367904349,41917900,0.003855278276675506
2020-08-05,311.0807800292969,311.34307787020856,310.2096744926858,310.4813196956265,42697700,0.0061915942927246335
2020-08-06,313.1602478027344,313.28202079035816,310.1628886094789,310.4907323641872,43679400,0.006662412025556821
2020-08-07,313.385009765625,313.6753782559275,311.25872803864536,312.1766846569839,57308300,0.0007174644443224832
