Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Log_Returns,Rolling_Volatility,Scaled_Log_Returns,GARCH_Volatility,Heston_Volatility,LSTM_Volatility,Actual Volatility
2022-11-14,396.81,-3.36000000000001,-0.0083964315166054,398.36,396.58,401.905,6093933,2436288417.0,-0.008456869182281,0.1832463149895192,-0.845686918228107,0.339835492207355,2.2908295440735005,0.17322297,0.1832463149895192
2022-11-15,400.18,3.37,0.0084927295179053,402.9,396.2,404.03,6157269,2467461396.0,0.0073738138531889,0.189031675088524,0.7373813853188965,0.3067764821307484,2.2908295440735005,0.17120746,0.189031675088524
2022-11-16,397.24,-2.94,-0.0073466939877055,398.45,396.49,399.45,4086712,1625011479.0,0.0033789779230729,0.1881714214015618,0.3378977923072924,0.2788735828498306,2.2908295440735005,0.18582834,0.1881714214015618
2022-11-17,395.9,-1.34000000000003,-0.0033732756016514,392.21,391.81,396.65,3341881,1318493553.0,-0.0047374345230155,0.1882988803436722,-0.4737434523015503,0.2502801308188432,2.2908295440735005,0.19359745,0.1882988803436722
2022-11-18,397.78,1.88,0.0047486739075524,399.44,394.73,399.5,2504927,994154209.0,0.0038285271689876,0.1893204444528736,0.3828527168987639,0.2252015938961658,2.2908295440735005,0.19614935,0.1893204444528736
2022-11-21,396.26,-1.51999999999998,-0.0038212077027502,396.38,394.39,397.47,2302751,912165785.0,-0.0136847670590255,0.1915589004404545,-1.368476705902551,0.2041193776064699,2.2908295440735005,0.197466,0.1915589004404545
2022-11-22,401.72,5.46000000000004,0.0137788320799476,398.33,396.88,401.81,3314591,1326399820.0,-0.0059565350343932,0.1991774014063783,-0.5956535034393206,0.2036645620808877,2.2908295440735005,0.2001235,0.1991774014063783
2022-11-23,404.12,2.39999999999998,0.0059743104650004,401.27,401.11,404.69,2267636,914574734.0,7.423813121294265e-05,0.1980882545886063,0.0074238131212942,0.1862555266586299,2.2908295440735005,0.20489986,0.1980882545886063
2022-11-25,404.09,-0.0300000000000296,-7.42353756310738e-05,403.61,403.33,404.69,1202538,485951381.0,0.0159648181121466,0.1995577037005644,1.5964818112146648,0.167773437994894,2.2908295440735005,0.20592776,0.1995577037005644
2022-11-28,397.69,-6.39999999999998,-0.0158380558786408,400.8301,396.8225,402.56,2508442,1002086606.0,0.0017113380293403,0.1979712235708979,0.1711338029340375,0.1906983977576875,2.2908295440735005,0.20650694,0.1979712235708979
2022-11-29,397.01,-0.680000000000007,-0.0017098745253841,397.76,395.0,399.03,4447838,1765785766.0,-0.030535776931723,0.1982257005843456,-3.0535776931723086,0.172397666343095,2.2908295440735005,0.20536357,0.1982257005843456
2022-11-30,409.32,12.31,0.0310067756479686,397.21,395.19,409.32,6014823,2418855892.0,0.000415409245164,0.1766050300864492,0.0415409245164009,0.2575685939874024,2.2908295440735005,0.20480132,0.1766050300864492
2022-12-01,409.15,-0.170000000000016,-0.0004153229746897,410.68,406.53,411.94,5897931,2413188167.0,0.001075978877681,0.176631276617292,0.1075978877681042,0.2300877956623186,2.2908295440735005,0.18724161,0.176631276617292
2022-12-02,408.71,-0.439999999999998,-0.0010754002199682,403.95,403.95,409.65,3624204,1475600379.0,0.0181719935181237,0.1819809077478924,1.8171993518123717,0.2062864420222771,2.2908295440735005,0.17595606,0.1819809077478924
2022-12-05,401.35,-7.35999999999996,-0.0180078784468204,405.73,399.93,406.72,4140985,1667853080.0,0.0144049870898685,0.1757864376606762,1.4404987089868533,0.2266924607574504,2.2908295440735005,0.18135908,0.1757864376606762
2022-12-06,395.61,-5.74000000000001,-0.0143017316556622,401.14,393.31,401.65,4232510,1676228307.0,0.0019229315441273,0.1793940650319307,0.1922931544127367,0.228414664698235,2.2908295440735005,0.17919095,0.1793940650319307
2022-12-07,394.85,-0.759999999999991,-0.0019210838957559,394.42,393.62,397.32,4077994,1610750029.0,-0.0078204233082683,0.1823822744387477,-0.782042330826832,0.2052777703385419,2.2908295440735005,0.18222071,0.1823822744387477
2022-12-08,397.95,3.09999999999997,0.0078510826896288,396.82,395.15,399.05,2484515,987478573.0,0.0074152882154963,0.1811305885309627,0.7415288215496325,0.1904964951892647,2.2908295440735005,0.18728665,0.1811305885309627
